DATE,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,NewConstructMeanSalePrice,NewConstructSalesCount,SalesCount,SalePrice,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
2019-05,58.0,41.0,46.0,15914.454088952654,0.1792504073872895,517954.5596666667,90.0,2086.0,312933.65771543555,3.534,4.072,0.538
2019-06,56.0,41.0,51.0,16471.194805194806,0.190457150473144,415749.2098765432,81.0,2192.0,313989.9471834259,3.237,3.803,0.565
2019-07,56.0,42.0,49.0,17555.13843111404,0.2024606971975393,465306.9215686274,51.0,2267.0,314743.70057631034,3.203,3.765,0.562
2019-08,58.0,43.0,52.0,16959.256637168142,0.2087762333060779,453305.6875,80.0,2173.0,315386.38739690586,3.082,3.616,0.534
2019-09,56.0,40.0,52.0,16347.580046403711,0.2225523295070898,409938.275862069,58.0,1824.0,315864.2891159283,3.115,3.605,0.49
2019-10,54.0,41.0,52.0,14061.681844716872,0.2234101638433768,455743.582278481,79.0,1936.0,316604.0355462396,3.142,3.688,0.546
2019-11,52.0,40.0,60.0,14432.390569395018,0.1723427847299223,422895.6216216216,74.0,1756.0,318098.2996220871,3.158,3.695,0.538
2019-12,56.0,41.0,69.0,12398.353211009176,0.1239203905369883,495094.8,65.0,1843.0,319788.3350777666,3.178,3.72,0.543
2020-01,62.0,44.0,73.0,12748.764488286066,0.1603309040772109,487610.9945762712,59.0,1305.0,322159.97714108246,3.072,3.624,0.552
2020-02,66.0,38.0,62.0,16896.771062271062,0.1861723446893787,416570.5283050848,59.0,1204.0,324455.4481650272,2.97,3.465,0.495
2020-03,67.0,39.0,55.0,15436.213846153849,0.1221374045801526,502755.45045454544,66.0,1534.0,327058.43139912776,2.885,3.45,0.565
2020-04,74.0,42.0,49.0,15691.387673956262,0.1083070452155625,405716.9615384616,52.0,1346.0,329232.7486694219,2.804,3.306,0.502
2020-05,82.0,43.0,48.0,18857.7485632184,0.1335397716276369,551999.9242424242,66.0,1486.0,330401.44419359707,2.692,3.232,0.54
2020-06,87.0,46.0,38.0,22942.79502196193,0.1230225200074446,411878.34285714285,77.0,1826.0,330768.0607849275,2.603,3.163,0.56
2020-07,90.0,43.0,37.0,27786.817741935483,0.1108438193930421,458328.3894845361,97.0,2307.0,331255.4989645723,2.52,3.016,0.496
2020-08,88.0,44.0,30.0,25657.03833333333,0.1080205753476852,507560.40476190473,84.0,2213.0,333252.3999008446,2.475,2.935,0.46
2020-09,82.0,45.0,31.0,21216.75,0.1201106282101936,518738.04901960783,102.0,2308.0,337178.7793816693,2.385,2.89,0.505
2020-10,76.0,46.0,31.0,21221.23809523809,0.1221095334685598,517780.00933333335,105.0,2415.0,342493.71400717256,2.346,2.834,0.488
2020-11,74.0,45.0,28.0,18490.81481481481,0.1165929718408191,485044.5945945946,111.0,2150.0,348747.7280889923,2.305,2.765,0.46
2020-12,76.0,46.0,43.0,16322.38675958188,0.0788106235565819,481231.9736842105,114.0,2331.0,355220.9960719335,2.218,2.684,0.466
2021-01,85.0,39.0,51.0,20224.76470588236,0.0821270310192023,466449.4641935484,93.0,1510.0,361105.9885108517,2.2,2.735,0.535
2021-02,96.0,41.0,32.0,21350.217391304348,0.0869565217391304,457484.2213888888,72.0,1290.0,367119.2431610909,2.237,2.81,0.573
2021-03,101.0,46.0,24.0,28739.252788104088,0.0913775334936448,458678.5825225225,111.0,1725.0,373243.5717801251,2.393,3.083,0.69
2021-04,94.0,49.0,22.0,28324.685258964146,0.078964613368283,465568.6719642857,112.0,1773.0,380010.6051150896,2.364,3.06,0.696
2021-05,87.0,48.0,24.0,29306.588628762544,0.0825432236475181,507580.1923076923,104.0,1897.0,386707.3459288508,2.28,2.962,0.683
2021-06,83.0,37.0,19.0,30897.96202531645,0.108354011579818,586448.793814433,97.0,2564.0,392831.0135048451,2.27,2.975,0.705
2021-07,83.0,45.0,18.0,29282.941287878788,0.1363276089828269,666201.3841304348,92.0,2233.0,396837.5961910873,2.18,2.868,0.688
2021-08,79.0,48.0,19.0,27443.796215429404,0.1608201581027667,553602.7117582418,91.0,2199.0,398299.0897590153,2.145,2.842,0.698
2021-09,75.0,48.0,22.0,22209.72582972583,0.1629441624365482,554783.9482857143,105.0,2114.0,397833.9305572367,2.184,2.9,0.716
2021-10,74.0,46.0,28.0,23426.3421418637,0.1730718954248366,498462.6818181818,88.0,1798.0,397343.1778256824,2.308,3.067,0.76
2021-11,75.0,46.0,26.0,17123.542635658916,0.1500308071472581,532680.3217391304,116.0,1913.0,397947.5434277141,2.357,3.067,0.71
2021-12,83.0,46.0,27.0,21471.503676470587,0.1093489148580968,606272.6899224806,129.0,1923.0,399546.5854058857,2.348,3.098,0.75
2022-01,93.0,49.0,31.0,21442.87553648069,0.1070127504553734,554326.0,92.0,1360.0,403852.87077312014,2.66,3.445,0.785
2022-02,100.0,46.0,25.0,22883.37704918033,0.0891472868217054,609663.9662921348,90.0,1076.0,410540.1759422379,2.998,3.763,0.765
2022-03,97.0,43.0,17.0,23145.41743119266,0.0808278016399843,580151.7238095239,105.0,1353.0,419451.1891337537,3.39,4.172,0.782
2022-04,91.0,42.0,16.0,35189.520161290326,0.0878402903811252,536376.2195121951,82.0,1461.0,427978.181627621,4.215,4.982,0.767
2022-05,81.0,43.0,13.0,29180.824945295404,0.1325745924330975,574593.9756097561,82.0,1629.0,435297.5446719154,4.435,5.23,0.795
2022-06,75.0,42.0,18.0,28948.207349081364,0.1824973319103522,617832.3169607843,102.0,1842.0,441029.15192610055,4.652,5.522,0.87
2022-07,74.0,44.0,20.0,23693.78536585366,0.2086230876216968,607824.8936170213,94.0,1700.0,443845.2748757841,4.612,5.412,0.8
2022-08,72.0,43.0,25.0,25369.06725888325,0.2087031205267678,630546.8426966292,89.0,1733.0,443426.5853307801,4.562,5.223,0.66
2022-09,70.0,43.0,29.0,31250.097449933248,0.2135242156564118,554472.213483146,89.0,1532.0,440855.578993479,5.35,6.112,0.762
2022-10,66.0,43.0,25.0,25180.47624565469,0.2459433662106268,619819.2596153846,104.0,1337.0,438898.17522172286,6.145,6.9,0.755
2022-11,64.0,43.0,29.0,20055.83737517832,0.2225705329153605,592574.9086486486,74.0,1202.0,438107.6694807086,6.138,6.805,0.667
2022-12,69.0,43.0,36.0,20834.868902439022,0.1500675980171248,668203.3595505618,89.0,1178.0,437974.5295780916,5.668,6.364,0.696
2023-01,79.0,45.0,41.0,24408.92757009346,0.1918386491557223,585280.5538461539,65.0,822.0,437291.3295672576,5.425,6.272,0.848
2023-02,87.0,41.0,35.0,23756.173144876324,0.1408521303258145,603778.4137931034,58.0,700.0,437138.45880709565,5.415,6.258,0.843
2023-03,90.0,40.0,29.0,24343.511904761905,0.1105969458583989,563604.8846153846,78.0,1012.0,438303.1193956602,5.796,6.544,0.748
2023-04,89.0,42.0,21.0,31003.941176470587,0.1125330979699911,643775.7868852459,61.0,969.0,441510.8785431791,5.662,6.342,0.68
2023-05,87.0,42.0,19.0,39064.996875,0.1219129753038024,651846.2352941176,102.0,1193.0,445856.7551851697,5.808,6.425,0.617
2023-06,86.0,43.0,20.0,38072.73150684931,0.1411530815109344,623102.9052631579,95.0,1473.0,450340.7560480296,6.088,6.714,0.626
2023-07,87.0,43.0,23.0,32724.76595744681,0.152428810720268,728559.4736842106,76.0,1170.0,454615.1914816845,6.178,6.84,0.662
2023-08,84.0,42.0,23.0,34468.8590021692,0.1720388349514563,632269.5,62.0,1350.0,458604.317295673,6.43,7.072,0.642
2023-09,78.0,41.0,21.0,35210.585106382976,0.1801340165549862,662521.6376811594,69.0,1264.0,462128.7221665124,6.572,7.2,0.628
2023-10,71.0,41.0,25.0,27852.110754414127,0.2156495694496443,727084.4035087719,57.0,1181.0,465226.0746119997,6.905,7.62,0.715
2023-11,68.0,41.0,28.0,28119.789077212805,0.210375816993464,763087.1765079364,63.0,1064.0,467641.6974170495,6.766,7.442,0.676
2023-12,72.0,41.0,37.0,26937.42857142857,0.1375314861460957,663320.8222222222,45.0,968.0,469877.6083979009,6.138,6.815,0.678
2024-01,80.0,45.0,38.0,22947.702786377708,0.15234375,810052.1333333333,45.0,779.0,471292.65235990426,5.87,6.643,0.773
2024-02,88.0,38.0,32.0,23931.48473282443,0.1319082377476538,649340.5901639344,61.0,783.0,472864.4579189085,6.102,6.776,0.674
2024-03,90.0,39.0,24.0,25013.46923076923,0.120215897939156,623441.7361111111,72.0,936.0,475661.1568096122,6.175,6.82,0.645
2024-04,86.0,40.0,22.0,35586.26959247649,0.129004329004329,579557.6794871795,78.0,1015.0,479773.2923118773,6.263,6.992,0.73
2024-05,80.0,40.0,19.0,34809.830434782605,0.1542610571736785,662960.586031746,63.0,1181.0,484040.8236782637,6.346,7.06,0.714
2024-06,77.0,41.0,20.0,34170.00359066427,0.1724949562878278,667241.6440677966,59.0,1246.0,487238.2704387307,6.188,6.918,0.73
