MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
6.5280000000000005,6.9159999999999995,0.38800000000000007
6.7475000000000005,7.145,0.39749999999999996
7.1775,7.55,0.37250000000000005
7.256,7.632,0.376
7.5275,7.9425,0.4149999999999998
7.4425,7.8225,0.3799999999999999
7.465999999999999,7.851999999999999,0.38599999999999995
7.355,7.7375,0.38250000000000006
7.522,7.912000000000001,0.39
7.8025,8.21,0.40749999999999975
7.932499999999999,8.325,0.3925000000000003
7.831999999999999,8.24,0.40800000000000036
7.8,8.1525,0.3524999999999998
8.182500000000001,8.515,0.33249999999999935
7.992,8.288,0.29600000000000043
7.865,8.1475,0.28250000000000064
7.7625,8.0275,0.2649999999999997
7.604000000000001,7.912000000000001,0.308
7.47,7.795,0.32499999999999996
7.4175,7.745,0.3275000000000001
7.056,7.382,0.32599999999999996
6.640000000000001,7.0325,0.39249999999999985
6.640000000000001,7.05,0.4099999999999999
6.508,6.952,0.44399999999999995
6.595,7.0775,0.48249999999999993
6.675,7.145,0.46999999999999975
6.7,7.159999999999999,0.45999999999999996
6.6825,7.1275,0.44500000000000006
6.5,6.95,0.45
6.34,6.8175,0.4774999999999998
6.0975,6.6175,0.52
6.146,6.6579999999999995,0.5119999999999996
6.5425,7.0649999999999995,0.5224999999999997
6.48,6.9975,0.5174999999999998
6.375,6.8925,0.5174999999999998
6.516,7.014,0.49799999999999967
6.475,6.985,0.5100000000000002
6.279999999999999,6.806,0.526
6.105,6.65,0.5449999999999999
5.93,6.485,0.5550000000000002
5.702,6.29,0.5879999999999997
5.5075,6.0925,0.5850000000000002
5.5,6.1125,0.6125
5.464,6.068,0.6039999999999999
5.45,6.0475,0.5975000000000001
5.304,5.9159999999999995,0.6119999999999999
5.22,5.8425,0.6225000000000003
5.0649999999999995,5.745,0.6800000000000002
5.1175,5.8125,0.6950000000000001
4.86,5.484,0.6239999999999999
4.6274999999999995,5.23,0.6025
4.967499999999999,5.6325,0.6650000000000003
5.588,6.264,0.6759999999999999
5.4575,6.1475,0.6900000000000004
5.273999999999999,5.952,0.6780000000000002
5.2725,5.9325,0.6600000000000004
5.204,5.8759999999999994,0.6719999999999997
5.015,5.7125,0.6975
4.9375,5.635,0.6975
4.74,5.445,0.7049999999999998
5.1579999999999995,5.83,0.6719999999999999
5.6375,6.27,0.6325000000000001
5.66,6.2875,0.6275000000000002
5.464,6.056,0.592
5.26,5.8675,0.6074999999999997
5.144,5.754,0.61
5.115,5.7225,0.6075000000000002
5.135,5.73,0.5949999999999998
5.178,5.752,0.5739999999999996
5.1725,5.71,0.5374999999999999
5.1499999999999995,5.6275,0.4775000000000005
