ds,yhat,yhat_lower,yhat_upper
2014-10-31,209118.47776532592,198508.5047283998,219491.0433252621
2014-11-30,207236.87256773288,196488.48964587497,217381.63865915788
2014-12-31,207210.98954191818,197109.5916378826,217936.53807699194
2015-01-31,204427.1631260222,194238.52383411812,215289.63606295895
2015-02-28,207581.44419825205,196853.45026477333,217581.01714054053
2015-03-31,207712.1070384581,196698.4730076256,217069.0385453935
2015-04-30,214128.99718820222,202924.41617147886,224777.2004212439
2015-05-31,225707.01013306825,215206.3880118045,236393.3822025888
2015-06-30,235335.95423275663,224720.29707451083,245936.60056044193
2015-07-31,239871.06793841632,228933.59219925723,250255.45735658068
2015-08-31,236076.32141437367,225732.24775006558,246824.92394973137
2015-09-30,229180.273921892,218820.48914499147,240312.2689384785
2015-10-31,222948.1533343106,212671.6088104295,232532.60163071455
2015-11-30,221442.1959561019,211255.56164616178,232251.3854117813
2015-12-31,220116.117548932,210023.3962000779,230533.83722156193
2016-01-31,215933.34716137656,205216.8691510075,226356.8430249585
2016-02-29,213809.75824008402,203148.88625386418,224429.5777638115
2016-03-31,218899.14620743797,207858.47810219642,229234.4109824514
2016-04-30,232189.98287299933,221355.9931905048,242716.17358725204
2016-05-31,240998.08141135055,229914.92490315172,251169.92571651738
2016-06-30,246997.27335939245,236776.7614872247,257138.29881765714
2016-07-31,249863.1361881979,239189.03120966756,260521.3880735278
2016-08-31,248117.2038346709,237461.15531724892,258411.0479643825
2016-09-30,242447.86146568652,231758.99042759574,252866.6850156738
2016-10-31,236904.19153409213,226548.43904381624,247084.06482432436
2016-11-30,232888.09657692176,222700.23119799397,242848.07729252925
2016-12-31,234015.41934183327,223505.11103167364,243832.44601392638
2017-01-31,232750.7918851887,222443.17298053225,243463.97363870245
2017-02-28,228744.43996053774,217421.81226158355,238911.83407539202
2017-03-31,232242.02929451555,221611.9725138191,242966.8265169285
2017-04-30,243209.0022429041,232598.0127557846,253650.19448553905
2017-05-31,252884.6932052643,242629.2520748948,263533.2724640968
2017-06-30,260085.89993474868,249137.81500738597,270026.2096188149
2017-07-31,263532.95950110094,252736.0353684755,273390.91014600283
2017-08-31,261123.9770845063,250583.24171609676,272409.64045449323
2017-09-30,255041.30074502985,244526.48516714477,265575.9183298535
2017-10-31,249252.27496083378,238595.2733040318,259322.3147956123
2017-11-30,246077.07702903205,235033.69562362597,257273.48299231418
2017-12-31,246397.42447938607,235492.16990144015,256344.9006961649
2018-01-31,244114.6086682027,233488.88030555798,254208.26968835323
2018-02-28,243693.17400808987,232922.17617349193,253848.43985744653
2018-03-31,245532.95197566733,235172.70034395103,255823.82242761497
2018-04-30,254203.41138947036,243674.340425706,264855.7884876216
2018-05-31,264798.3043091351,254517.98086407574,275050.75918384065
2018-06-30,273205.84725029505,262972.2483085043,283518.5231155864
2018-07-31,277205.221512593,266919.75892443734,287632.51790290046
2018-08-31,274113.0402200329,263788.37212406175,284531.32466244715
2018-09-30,267621.18836055143,256737.74543797105,278050.06494473113
2018-10-31,261602.61838885472,251594.21525266842,272096.32711375935
2018-11-30,259264.3596277104,248976.82357548721,270195.2557362871
2018-12-31,258766.6012528913,248214.97290000887,269316.84668601805
2019-01-31,255510.8994879917,244816.66026685585,266101.081289028
2019-02-28,258653.39750850882,247545.95945184966,268938.137810781
2019-03-31,259387.3006101475,248543.3614067515,269536.466232154
2019-04-30,266387.97165808553,255871.33223059925,276269.5901558815
2019-05-31,278569.2248643965,268555.40071172925,289595.7038035401
2019-06-30,288781.94986224896,277674.3783687087,299864.5029456726
2019-07-31,293920.303829345,282919.3537639401,303603.52831525117
2019-08-31,290741.84310567647,280375.17037169094,301564.08574014297
2019-09-30,285790.0932037398,275679.3771822125,296722.6700421333
2019-10-31,281567.0801263859,270429.4985537121,292090.5597685099
2019-11-30,282005.4203387188,271836.5007316364,291926.0452077057
2019-12-31,282688.4494417746,272410.36563926993,293439.3263766338
2020-01-31,280514.78656444803,270432.4626269372,290597.1008258564
2020-02-29,280270.6853112369,269842.1385512261,290634.3835620553
2020-03-31,287369.1807858772,277872.92610248533,297873.33635136695
2020-04-30,303204.2792267433,293259.1485789747,313957.31065357866
2020-05-31,314641.4482662264,305047.2675151464,324391.7670290219
2020-06-30,323184.9019895663,313055.2225822822,333358.2503263579
2020-07-31,328679.8353194921,317222.76183683146,338405.6593954064
2020-08-31,329562.9734596008,318918.99888490676,339474.46627004875
