ds,yhat,yhat_lower,yhat_upper
2022-09-30,472530.9968202334,459219.59584807657,486841.72978141473
2022-10-31,473371.53050127387,459620.3235910142,486906.5061464037
2022-11-30,473085.5909791314,460319.4001296215,487209.85501951864
2022-12-31,468372.03163658746,454680.82945462747,482315.3048554734
2023-01-31,466162.74127734324,451651.37812380266,478720.8293099897
2023-02-28,465544.38743020786,453047.47097070277,479758.80903944146
2023-03-31,461056.69109226484,447977.46750460233,474231.1365968736
2023-04-30,463344.8398368337,449476.2462657498,476315.3127591047
2023-05-31,476941.06656039815,462958.9636108547,489896.2587370203
2023-06-30,493023.63897843956,478916.46105852164,506937.30090754374
2023-07-31,503648.18078750314,490136.93095503526,517747.9876505363
2023-08-31,508119.0804560388,494403.5883534865,521799.2569006026
2023-09-30,511533.1770586163,497449.4874798726,525682.7204496831
2023-10-31,512524.7470135861,498175.64068403555,526471.3500290839
2023-11-30,512626.6881705793,499115.53531463654,526932.8781116916
2023-12-31,504994.0064328301,491470.683030584,518791.33928549336
2024-01-31,503608.554629386,487902.2446943636,517812.18061922287
2024-02-29,494683.2557956848,481805.2236569847,508695.2928715693
2024-03-31,497760.3635308453,483914.2180288963,511168.02711832465
2024-04-30,507366.14014614973,492132.83543538087,520451.10037312104
2024-05-31,519360.1677842529,505265.42105478275,533497.2894464139
2024-06-30,531764.9876050308,518182.802888568,545090.2667033316
2024-07-31,539549.9393121881,526054.9625980803,552802.1555803439
2024-08-31,547712.9911438919,533366.0027656112,562022.2098624345
2024-09-30,549805.360292349,535945.4237429197,563400.9565765556
2024-10-31,550322.1674669986,536168.1689008836,564060.3161758182
2024-11-30,549154.5997600035,534164.9460526535,563353.7254192278
2024-12-31,550348.2430211926,536920.7359588257,564215.2113450973
2025-01-31,546749.5244647549,532185.9848665484,559523.5461834094
2025-02-28,536707.744738369,523552.8470536551,550038.523633436
2025-03-31,537349.8842099489,523338.9812299987,551685.0058543418
2025-04-30,544486.5368569182,530405.6256300245,557898.8489526116
2025-05-31,556958.290554135,543100.0979964954,571298.3076944153
2025-06-30,570572.9724895816,557005.1797124542,584566.4063793995
