ds,yhat,yhat_lower,yhat_upper
2012-01-31,141660.21139155515,136260.33696860506,147188.7198630722
2012-02-29,137834.8011667705,132399.41495919815,143474.28223887205
2012-03-31,141167.38657932513,135499.5157009411,146849.82971439202
2012-04-30,148786.4915468938,142991.21450962007,154948.98700445503
2012-05-31,156141.0338715021,150272.748185505,161969.33561627136
2012-06-30,162746.35513789335,157082.5133542755,168597.04664009367
2012-07-31,165073.58181159504,159348.0416912402,170402.43734153427
2012-08-31,165949.13321161518,160391.63449495743,171176.47376425218
2012-09-30,160883.33970940186,154872.0173849833,166357.26024511733
2012-10-31,156461.05661760102,150660.89848465638,162042.4223711365
2012-11-30,151641.4398021716,146446.86973709744,157462.77966938028
2012-12-31,148863.7923753845,143400.80893152358,154871.38787082487
2013-01-31,145284.96528602528,139353.40860723375,150886.79028956886
2013-02-28,142139.98700915166,136405.8898076983,147842.94182435755
2013-03-31,144020.70916476936,138489.40620146313,150071.85477289386
2013-04-30,150769.44143793941,144920.47623063409,156293.62012779524
2013-05-31,158291.7243079795,152730.4360459482,163639.24121201743
2013-06-30,165661.30951282865,160443.6100325195,171391.62297239515
2013-07-31,169272.45334372643,163568.44193509215,175282.28680724953
2013-08-31,169848.0421708487,163945.3649849826,175601.3352547607
2013-09-30,164407.31125698343,158878.67315695298,170264.62406461692
2013-10-31,159517.42624421645,153744.2203828434,165192.04585225356
2013-11-30,154739.50148811113,149112.9347333182,160150.4890770511
2013-12-31,152665.12052790629,146881.80788782227,158270.69913857334
2014-01-31,149072.33118528826,143309.4472258781,155093.46350907726
2014-02-28,148108.64472904682,142576.7568740214,153683.22947427802
2014-03-31,148770.2690685475,143104.14353864262,154297.22486316244
2014-04-30,154928.03888103936,149333.64466167608,160439.33677907655
2014-05-31,162915.83787401996,157148.65967679315,168463.97477910228
2014-06-30,171326.9885761059,165799.53407349635,176673.16191436007
2014-07-31,176398.7495031833,170812.39369402736,182127.41145338528
2014-08-31,176838.68507426485,171145.45123031,182760.31004649034
2014-09-30,171202.44219466235,165490.23061347226,176657.2882874073
2014-10-31,166048.69530023448,160041.4806953783,171679.28714808795
2014-11-30,161524.8245405386,155523.06239313158,167292.150145551
2014-12-31,160353.84064769896,154532.02054625683,165823.54524830196
2015-01-31,156481.83506058523,151465.66117776342,162063.17513050916
