ds,yhat,yhat_lower,yhat_upper
2012-09-30,159815.17494630138,154324.52521861152,165654.19310618335
2012-10-31,155945.9511068576,149635.35576522653,162014.53881231588
2012-11-30,153440.91393821553,147520.22799151856,159642.24448910094
2012-12-31,151894.19045128816,145758.1579460634,157964.74960876562
2013-01-31,147714.84343254042,141644.4226016453,154033.85673149565
2013-02-28,142067.96655585285,136145.95720764878,147959.68253479814
2013-03-31,143914.43935530094,138247.4138671257,149599.9062438163
2013-04-30,151071.81900113306,145087.69619333904,156746.74528713326
2013-05-31,159413.02695582638,153542.68037004714,165336.78452193865
2013-06-30,166846.30030202455,160736.48731609937,172462.02668413398
2013-07-31,171667.1877544195,165598.57363500132,177187.63520669422
2013-08-31,171162.6842613595,164980.58613577296,176598.72094805693
2013-09-30,166837.17101897657,161172.88663575094,172786.49280083587
2013-10-31,162551.32902755242,156544.27621735306,168468.66796235225
2013-11-30,159442.4469006021,153533.3249901747,165229.8426079857
2013-12-31,157327.52672276073,151579.42592148102,163011.06183395514
2014-01-31,152997.0794646295,146730.17597016986,159002.57591347554
2014-02-28,150480.954674333,144813.3230809494,156676.50430443074
2014-03-31,150961.5597463091,144883.7552730065,156976.19706527438
2014-04-30,156556.23689286265,150983.7181927485,162395.75894563665
2014-05-31,164987.27679950773,158962.55309033583,170497.7274567585
2014-06-30,172681.0399469416,167184.99481234537,178800.52311285093
2014-07-31,178197.92543528657,172442.37599755594,184333.58143057214
2014-08-31,178147.22055131238,172425.86493142703,184526.13571863755
2014-09-30,173849.77946276113,167853.056125475,179744.06567615696
2014-10-31,169133.31930919783,163119.19603611322,175257.25779788298
2014-11-30,165422.10048898912,160004.49356832754,171334.85745065886
2014-12-31,162758.8778126576,156980.76183975497,168280.2295233305
2015-01-31,158322.13560333994,152590.40772139325,164121.8984790303
2015-02-28,158910.8013479645,153456.48758837517,164879.34921220964
2015-03-31,157968.2855429819,152423.45285080597,163977.86445247554
2015-04-30,162009.76102023994,156013.48757729505,167130.5910949654
2015-05-31,170560.94186276148,164472.88176920149,176319.11099696768
2015-06-30,178537.1750033246,172869.79334958261,184264.42411931857
2015-07-31,184753.85558896742,178718.3673802781,191100.93219989858
2015-08-31,185142.8378334839,179214.15243302676,191409.3641229568
2015-09-30,180850.68144490066,175606.76240241577,186772.03676680836
2015-10-31,175690.706249892,169642.2303870093,181535.46262457714
2015-11-30,171380.18650596548,165568.5458717732,177437.57104704485
2015-12-31,168189.74349567958,162308.07506293754,174379.85157458077
2016-01-31,163691.107332743,157595.05625449496,169683.33047651584
2016-02-29,159173.05818163266,153153.3359211684,165016.98701570774
2016-03-31,162343.16474921297,156449.64694286865,167929.63130678912
2016-04-30,171086.19218604104,165113.03672555138,176907.2521618071
2016-05-31,179383.85533002747,173592.7099027624,184716.43524575213
2016-06-30,186594.89450502154,180825.55468085266,192469.04682646392
2016-07-31,190740.82001559023,184627.9105807763,196612.72028252558
2016-08-31,189832.17958348687,184474.06082754995,195695.6388964681
2016-09-30,185516.83594225347,179842.6050590846,190937.17632740663
2016-10-31,181711.06906264942,175728.44191746195,187955.44640682152
2016-11-30,179267.44185514096,173233.96961939277,184992.9939118362
2016-12-31,177784.17532805348,171871.5472057555,183713.73854663575
2017-01-31,173667.88775106816,167537.70530064937,179587.14555548746
2017-02-28,168084.40046101197,162275.49928207672,174132.81133054543
2017-03-31,170001.05458855524,163957.8238670298,175646.38506282785
2017-04-30,177226.35164866006,171402.80225937822,183169.53212679093
2017-05-31,185637.74093143258,179775.1534266849,190909.18367728917
2017-06-30,193138.9316919055,186919.8193217982,199233.94923873173
2017-07-31,198029.984990747,191969.401378569,204215.3647054547
2017-08-31,197595.64734413894,191836.85978573462,203726.29638688028
2017-09-30,193486.56674038628,187257.0381108174,199469.43565080312
2017-10-31,189424.37180886333,183418.266860808,194945.18564486672
2017-11-30,186531.9223205437,180522.25533082016,192352.76453272335
2017-12-31,184640.64920260312,178868.4746785062,190739.96015461537
2018-01-31,180533.84749012452,174929.83221223395,186364.34362788626
2018-02-28,178219.72512814734,172328.11724522422,183930.16399110894
2018-03-31,179089.06643003743,172888.61897281223,184606.53702860823
2018-04-30,185059.93992814078,178549.8151703755,191211.45112130506
2018-05-31,193879.7160646999,188095.94241171438,199519.32270660406
