POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
196501-198312,63.0,66.0,70.0,71.0,71.0,77.0,80,75,69,68,64,65.0,69.0,13962,ABILENE,TX
196501-198312,67.0,70.0,71.0,75.0,73.0,79.0,78,76,70,74,67,65.0,72.0,23047,AMARILLO,TX
196501-200912,50.0,56.0,53.0,52.0,52.0,66.0,72,70,64,61,55,51.0,58.0,13958,AUSTIN,TX
196501-198312,38.0,47.0,55.0,61.0,64.0,76.0,80,75,69,62,51,40.0,59.0,12919,BROWNSVILLE,TX
196501-198312,43.0,50.0,52.0,54.0,55.0,72.0,79,74,68,66,57,45.0,59.0,12924,CORPUS CHRISTI,TX
196501-197312,54.0,59.0,61.0,57.0,58.0,69.0,74,69,62,62,58,55.0,61.0,13960,DALLAS,TX
196501-198312,77.0,83.0,87.0,88.0,89.0,90.0,83,81,81,85,81,79.0,83.0,23044,EL PASO,TX
196906-198312,43.0,50.0,47.0,50.0,57.0,65.0,67,64,63,62,54,48.0,55.0,12960,HOUSTON,TX
197212-198312,63.0,67.0,75.0,73.0,74.0,80.0,79,80,72,75,68,68.0,72.0,23042,LUBBOCK,TX
198011-198312,67.0,64.0,71.0,70.0,79.0,83.0,85,78,83,72,73,66.0,74.0,23023,MIDLAND-ODESSA,TX
196501-198012,41.0,54.0,50.0,53.0,60.0,69.0,66,62,62,67,58,47.0,57.0,12917,PORT ARTHUR,TX
196501-200812,49.0,55.0,57.0,51.0,50.0,65.0,72,69,62,60,54,48.0,57.0,12921,SAN ANTONIO,TX
196501-198312,43.0,59.0,67.0,69.0,73.0,81.0,85,83,81,71,52,39.0,66.0,24127,SALT LAKE CITY,UT
196501-200812,45.0,49.0,49.0,52.0,55.0,56.0,66,59,53,46,31,31.0,49.0,14742,BURLINGTON,VT
196501-198312,53.0,58.0,60.0,62.0,63.0,65.0,62,64,60,59,55,52.0,59.0,13733,LYNCHBURG,VA
196501-198312,55.0,62.0,63.0,67.0,62.0,65.0,64,66,66,59,58,53.0,61.0,13737,NORFOLK,VA
196501-198312,54.0,61.0,62.0,66.0,65.0,68.0,66,67,65,60,60,54.0,62.0,13740,RICHMOND,VA
196608-198312,20.0,28.0,31.0,36.0,37.0,35.0,42,42,44,34,21,16.0,32.0,94240,QUILLAYUTE,WA
196503-198312,23.0,38.0,50.0,52.0,55.0,55.0,64,62,57,43,29,20.0,45.0,24233,SEATTLE,WA
196501-201812,25.0,37.0,53.0,57.0,63.0,65.0,78,76,70,54,26,22.0,52.0,24157,SPOKANE,WA
198307-198312,,,,,,,69,50,52,43,31,18.0,,13729,ELKINS,WV
196501-200912,51.0,56.0,55.0,56.0,64.0,66.0,69,65,57,48,35,38.0,55.0,14898,GREEN BAY,WI
196501-198312,47.0,51.0,50.0,49.0,57.0,63.0,67,62,58,50,37,36.0,52.0,14837,MADISON,WI
196501-198312,47.0,51.0,50.0,52.0,60.0,65.0,69,64,57,51,37,35.0,53.0,14839,MILWAUKEE,WI
196501-198312,58.0,66.0,67.0,66.0,63.0,64.0,67,70,70,67,56,57.0,64.0,24018,CHEYENNE,WY
196501-198312,63.0,67.0,69.0,65.0,63.0,71.0,74,76,73,66,58,59.0,67.0,24021,LANDER,WY
196501-198312,50.0,55.0,61.0,57.0,59.0,65.0,74,74,69,59,52,52.0,60.0,24029,SHERIDAN,WY
196501-198312,54.0,57.0,61.0,63.0,59.0,54.0,44,41,39,41,41,48.0,50.0,41415,GUAM,PC
196501-200612,56.0,59.0,64.0,63.0,58.0,47.0,48,48,54,49,53,51.0,54.0,40309,KOROR,PC
196501-200612,62.0,66.0,66.0,55.0,57.0,55.0,56,62,61,55,54,54.0,58.0,40710,MAJURO- MARSHALL IS,PC
196604-201012,43.0,45.0,50.0,44.0,38.0,38.0,45,51,57,44,42,40.0,44.0,61705,PAGO PAGO- AMER SAMOA,PC
196501-200612,40.0,43.0,47.0,43.0,41.0,40.0,40,43,44,39,41,35.0,41.0,40504,POHNPEI- CAROLINE IS.,PC
196501-200612,56.0,62.0,60.0,57.0,52.0,50.0,53,57,51,48,49,51.0,53.0,40505,CHUUK- E. CAROLINE IS.,PC
196501-200612,57.0,62.0,66.0,66.0,61.0,55.0,48,49,51,51,57,58.0,56.0,40308,YAP- W CAROLINE IS.,PC
196501-200712,66.0,69.0,75.0,69.0,58.0,63.0,68,67,65,60,57,57.0,64.0,11641,SAN JUAN,PR
