YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
198401-202012,6.6,6.9,7.0,6.5,5.9,5.5,5.2,4.8,5.3,5.4,5.6,6.0,5.9,03813,MACON,GA
198401-202012,7.3,7.7,8.2,7.8,7.1,6.5,6.2,5.9,6.6,6.5,6.5,6.7,6.9,03822,SAVANNAH,GA
198401-202012,6.9,7.2,7.2,7.0,6.9,6.6,6.5,6.5,6.5,6.3,6.4,6.5,6.7,21504,HILO,HI
198401-202012,8.5,9.1,10.1,10.9,10.4,11.8,11.9,11.7,10.2,9.5,9.7,9.3,10.3,22521,HONOLULU,HI
198401-202012,10.6,11.2,12.2,13.3,12.9,15.2,15.3,14.9,13.0,11.9,11.7,11.0,12.8,22516,KAHULUI,HI
198401-202012,11.9,12.4,13.4,14.3,13.2,14.3,14.6,13.9,12.7,12.5,13.3,12.7,13.3,22536,LIHUE,HI
198401-202012,6.5,7.7,8.7,8.8,8.3,8.1,7.4,7.3,7.1,7.0,7.0,6.9,7.6,24131,BOISE,ID
198401-202012,6.4,5.8,6.2,6.3,5.9,5.9,5.8,5.5,4.9,4.9,5.7,6.0,5.8,24149,LEWISTON,ID
198401-202012,9.2,9.8,10.7,11.5,10.2,9.7,8.6,8.5,8.4,9.4,9.7,9.1,9.6,24156,POCATELLO,ID
198401-202012,11.1,10.9,11.1,11.2,10.0,8.9,8.2,7.8,8.5,9.7,10.6,10.4,9.9,94846,CHICAGO,IL
198401-202012,9.7,9.5,10.2,10.5,8.8,7.5,6.5,6.0,6.8,8.2,9.3,9.1,8.5,14923,MOLINE,IL
198401-202012,9.4,9.2,9.9,10.0,8.4,7.4,6.4,6.0,6.6,7.9,9.2,8.9,8.3,14842,PEORIA,IL
198401-202012,10.0,10.1,10.7,11.1,9.6,8.2,7.3,6.8,7.6,9.0,10.0,9.6,9.2,94822,ROCKFORD,IL
198401-202012,10.9,10.7,11.3,11.3,9.5,7.8,6.7,6.4,7.1,8.9,10.6,10.4,9.3,93822,SPRINGFIELD,IL
198401-202012,8.2,8.2,8.3,8.2,6.9,6.2,5.4,5.0,5.3,6.1,7.2,7.5,6.9,93817,EVANSVILLE,IN
198401-202012,11.0,10.5,10.6,10.8,9.4,8.1,6.9,6.2,6.9,8.6,10.0,10.3,9.1,14827,FORT WAYNE,IN
198401-202012,10.9,10.8,11.1,11.1,9.5,8.5,7.6,7.3,7.9,9.1,10.2,10.3,9.5,93819,INDIANAPOLIS,IN
