YRS,CL,PC,CD,CL.1,PC.1,CD.1,CL.2,PC.2,CD.2,CL.3,PC.3,CD.3,CL.4,PC.4,CD.4,CL.5,PC.5,CD.5,CL.6,PC.6,CD.6,CL.7,PC.7,CD.7,CL.8,PC.8,CD.8,CL.9,PC.9,CD.9,CL.10,PC.10,CD.10,CL.11,PC.11,CD.11,CL.12,PC.12,CD.12,ID,CITY,STATE
9,8,5,18,8,6,14,8,7,17,8,8,13,11,9,10,17,8,5,25,4,1,25,5,2,22,4,3,18,7,6,11,8,11,10,5,16,172,77,116,24257,REDDING, CA
49,7,6,19,8,7,13,10,9,12,12,10,8,17,9,5,22,6,2,27,3,1,26,4,1,24,4,2,19,6,6,10,8,12,8,6,17,188,77,100,23232,SACRAMENTO, CA
55,12,7,11,10,8,10,11,9,11,10,10,10,8,11,11,9,12,9,13,13,5,15,12,4,15,10,6,14,10,8,15,8,7,14,8,10,146,117,102,23188,SAN DIEGO, CA
68,9,8,15,8,7,13,10,9,13,11,9,10,14,10,8,16,9,5,21,8,3,19,9,3,18,8,4,16,9,7,11,8,11,9,8,14,160,100,105,23234,SAN FRANCISCO AP, CA
45,13,7,11,12,6,10,13,8,10,13,9,8,14,10,7,15,11,4,17,12,2,17,13,2,16,10,4,17,9,5,15,7,8,14,7,10,176,110,80,23273,SANTA MARIA, CA
46,5,6,19,7,7,15,10,8,13,12,9,10,17,8,5,22,6,3,27,3,1,26,4,1,23,4,2,19,6,6,9,8,12,7,7,18,184,77,104,23237,STOCKTON, CA
33,13,10,8,11,10,7,10,11,9,10,13,8,9,14,8,14,12,4,9,17,6,11,14,6,15,10,5,17,8,6,14,9,7,14,10,7,148,137,81,23061,ALAMOSA, CO
44,12,8,11,9,8,11,9,9,13,8,10,12,7,12,12,10,12,8,9,15,7,10,13,8,14,8,7,15,8,8,12,8,10,12,8,11,127,120,118,93037,COLORADO SPRINGS, CO
61,10,9,11,8,9,11,8,10,13,7,11,13,6,12,13,10,12,8,9,16,6,10,14,8,13,9,8,13,9,9,10,10,10,11,10,10,115,130,120,03017,DENVER, CO
49,9,7,15,8,7,13,8,8,15,8,9,13,10,11,11,15,9,6,14,11,6,13,11,6,16,8,5,15,8,8,11,7,12,10,8,13,136,106,122,23066,GRAND JUNCTION, CO
50,12,9,10,10,8,11,10,9,12,9,10,11,9,12,11,12,11,7,11,14,5,12,12,7,15,8,6,15,8,8,12,9,9,12,9,10,139,119,107,93058,PUEBLO, CO
46,8,8,15,8,7,13,8,9,14,7,9,14,7,10,14,8,10,12,7,12,12,9,11,12,10,9,12,11,8,12,8,8,14,8,8,15,99,107,159,94702,BRIDGEPORT, CT
41,8,8,15,7,8,14,7,8,16,6,9,15,6,10,16,6,10,14,6,12,13,7,11,13,8,9,13,9,9,13,6,8,16,7,7,17,82,108,175,14740,HARTFORD, CT
47,7,7,17,7,7,14,8,8,15,7,8,14,7,10,14,8,11,12,8,11,12,9,10,12,10,8,12,11,8,12,8,8,14,8,7,16,97,104,164,13781,WILMINGTON, DE
33,7,7,17,7,6,15,7,8,16,7,9,14,7,10,14,6,12,12,8,11,12,8,11,12,9,9,12,11,8,12,7,8,15,7,7,17,92,105,168,93738,WASHINGTON DULLES AP, D.C.
48,7,7,16,7,7,15,7,8,15,7,9,14,7,10,14,7,11,11,7,12,12,9,10,12,10,8,12,11,8,12,8,8,14,8,7,16,96,106,164,13743,WASHINGTON NAT'L AP, D.C.
62,10,8,5,10,7,12,11,8,12,12,9,9,13,10,8,9,13,8,6,13,11,7,13,11,10,10,10,16,7,7,13,8,9,10,8,13,128,113,116,12832,APALACHICOLA, FL
52,9,9,13,9,8,12,10,10,12,11,11,9,10,11,10,6,13,12,5,14,12,5,15,11,5,13,12,9,10,11,10,10,10,9,9,13,97,132,136,12834,DAYTONA BEACH, FL
54,11,12,9,10,11,7,11,12,8,11,13,6,10,15,6,5,16,10,2,18,11,2,19,10,4,16,11,11,13,8,11,12,7,11,12,8,98,168,99,12835,FORT MYERS, FL
47,9,8,14,9,7,12,9,9,13,10,10,9,9,12,10,5,13,12,5,14,12,5,15,11,5,12,13,10,9,12,10,9,11,9,8,14,94,127,144,13889,JACKSONVILLE, FL
43,11,11,9,12,10,7,13,11,6,13,11,6,10,13,8,5,14,11,3,16,11,3,17,11,3,15,12,9,13,9,10,11,8,11,11,9,104,155,107,12836,KEY WEST, FL
46,9,13,9,8,12,8,9,14,8,8,15,7,6,15,9,3,14,13,3,17,11,2,18,11,2,15,12,7,14,10,8,14,9,9,13,9,74,175,115,12839,MIAMI, FL
47,9,10,12,9,9,11,9,10,12,10,11,9,9,14,9,4,14,12,3,17,11,3,17,11,4,15,12,9,11,11,10,10,10,10,9,12,89,147,130,12815,ORLANDO, FL
29,8,7,16,9,7,13,9,8,14,10,9,11,9,11,11,7,15,8,4,17,10,6,15,10,10,11,9,13,9,9,11,8,11,9,7,16,105,123,137,13899,PENSACOLA, FL
34,8,7,15,8,7,13,9,9,13,11,10,9,9,13,10,6,14,10,4,17,10,5,16,10,8,12,10,13,8,10,11,8,11,9,8,14,102,129,134,93805,TALLAHASSEE, FL
49,10,10,12,9,9,10,11,10,10,11,11,8,11,13,8,6,14,10,3,16,12,3,17,11,5,14,11,11,10,9,12,10,9,10,10,11,101,143,121,12842,TAMPA, FL
48,8,11,12,8,11,10,8,13,10,9,13,8,8,14,10,4,13,13,4,14,13,3,16,12,3,14,13,6,14,11,7,13,10,9,12,10,75,159,131,12844,WEST PALM BEACH, FL
52,9,7,15,9,6,13,9,7,14,10,8,11,9,10,12,8,12,10,7,13,11,8,13,10,10,9,11,14,7,10,12,6,12,10,6,15,113,105,147,13873,ATHENS, GA
61,8,6,16,8,6,14,9,8,15,10,8,12,9,11,11,8,12,10,6,13,12,7,13,10,10,10,10,14,7,10,12,6,12,9,6,15,110,107,149,13874,ATLANTA, GA
44,9,6,16,9,6,13,9,8,14,11,8,11,8,11,12,8,11,11,6,13,12,7,14,10,9,9,11,14,7,10,12,6,12,10,6,15,112,106,147,03820,AUGUSTA,GA
49,8,6,17,8,6,14,9,7,15,10,9,11,9,10,12,8,12,10,5,13,12,8,14,10,10,9,11,14,7,10,12,6,12,9,6,16,110,104,151,93842,COLUMBUS, GA
46,8,7,16,8,7,13,9,8,14,11,8,11,9,11,11,8,11,11,6,13,12,8,12,10,9,10,11,14,7,10,12,6,12,9,7,15,112,107,147,03813,MACON, GA
45,9,6,16,8,6,14,9,9,13,11,9,11,9,10,12,7,11,12,6,14,12,6,14,12,7,10,13,12,8,11,11,7,12,9,7,15,104,110,152,03822,SAVANNAH, GA
50,6,11,13,5,10,13,3,10,18,1,9,20,1,11,19,2,11,17,1,12,18,2,12,17,3,12,15,3,12,16,3,10,17,5,11,15,36,132,197,21504,HILO, HI
