POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
190001-202012,5.9,3.8,2.9,0.9,0.1,0.0,0.0,0.0,0.0,0.4,2.3,5.2,21.5,23066,GRAND JUNCTION,CO
195407-202012,5.7,4.6,5.6,3.5,0.3,0.0,0.0,0.0,0.5,1.5,3.9,5.0,30.6,93058,PUEBLO,CO
194807-202012,8.3,8.8,5.6,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.7,5.5,29.6,94702,BRIDGEPORT,CT
194901-202012,13.1,12.7,8.9,1.3,0.0,0.0,0.0,0.0,0.0,0.3,1.8,10.0,48.1,14740,HARTFORD,CT
194801-202012,6.5,6.8,3.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.2,20.6,13781,WILMINGTON,DE
196004-202012,7.1,7.0,3.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.6,22.1,93738,WASHINGTON DULLES,DC
194507-202012,5.3,5.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.7,16.0,13743,WASHINGTON NAT'L,DC
194801-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12834,DAYTONA BEACH,FL
191306-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12835,FORT MYERS,FL
196005-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12816,GAINESVILLE,FL
193805-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13889,JACKSONVILLE,FL
194801-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12836,KEY WEST,FL
194801-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12839,MIAMI,FL
195206-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12815,ORLANDO,FL
194807-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13899,PENSACOLA,FL
194003-202012,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,93805,TALLAHASSEE,FL
193902-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12842,TAMPA,FL
194407-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12843,VERO BEACH,FL
193812-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12844,WEST PALM BEACH,FL
194512-202011,0.8,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.3,13873,ATHENS,GA
193001-202012,0.9,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,13874,ATLANTA,GA
194612-202012,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,03820,AUGUSTA,GA
194801-202011,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,93842,COLUMBUS,GA
194812-202011,0.3,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,03813,MACON,GA
194801-202012,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,03822,SAVANNAH,GA
194910-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21504,HILO,HI
194910-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22521,HONOLULU,HI
191506-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22516,KAHULUI,HI
195002-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22536,LIHUE,HI
194001-202012,6.3,3.5,1.6,0.5,0.1,0.0,0.0,0.0,0.0,0.1,2.1,5.8,20.0,24131,BOISE,ID
194801-202012,5.1,3.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,4.2,15.2,24149,LEWISTON,ID
193901-202012,9.1,6.9,5.4,3.4,0.5,0.0,0.0,0.0,0.0,1.6,4.5,8.9,40.3,24156,POCATELLO,ID
195811-202012,11.3,9.2,6.1,1.5,0.0,0.0,0.0,0.0,0.0,0.3,1.9,8.2,38.5,94846,CHICAGO,IL
194306-202012,9.2,7.4,5.5,1.2,0.0,0.0,0.0,0.0,0.0,0.3,2.3,8.2,34.1,14923,MOLINE,IL
194305-202012,6.9,6.0,3.8,0.7,T,0.0,0.0,0.0,0.0,0.1,1.8,6.0,25.3,14842,PEORIA,IL
195101-202012,9.4,7.7,5.8,1.2,0.0,0.0,0.0,0.0,0.0,0.1,2.5,9.2,35.9,94822,ROCKFORD,IL
190101-202012,5.8,5.7,3.8,0.5,0.0,0.0,0.0,0.0,0.0,0.1,1.3,4.6,21.8,93822,SPRINGFIELD,IL
194801-202012,4.1,3.4,2.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.5,2.7,13.1,93817,EVANSVILLE,IN
193910-202012,8.9,7.6,4.7,1.1,0.0,0.0,0.0,0.0,0.0,0.2,2.6,7.1,32.2,14827,FORT WAYNE,IN
