CityName,StateAbbreviation,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
MIAMI,FL,314500.0,316100,312700,314100,315500,310800,302200,299800,303600,314300,316900,308300,307300,309500,316500.0,318700.0,321700.0,323600.0,320400.0,326100.0,333500.0,338300.0,332300.0,330500.0,336400.0,
ATLANTA,GA,221900.0,219600,220200,212100,217200,219200,225300,226000,227100,216100,216700,213100,225800,228300,241900.0,247700.0,254400.0,251800.0,246400.0,256000.0,260500.0,267600.0,258600.0,261100.0,275300.0,
KANSAS CITY,MO,210400.0,212100,204400,162800,159500,159000,157100,158700,162500,166300,168200,171800,218700,220800,221200.0,173800.0,173800.0,170500.0,170100.0,169900.0,168300.0,164300.0,161800.0,161700.0,216700.0,
COLORADO SPRINGS,CO,265500.0,268600,273000,275800,277900,278500,277200,279400,280200,282900,281100,281000,284300,289700,294400.0,295100.0,293600.0,296900.0,299200.0,302200.0,303400.0,307300.0,309800.0,310900.0,311800.0,320700.0
LONG BEACH,CA,541500.0,544700,519800,508800,512300,530800,545400,544600,556000,559500,566900,557700,555600,558400,559000.0,557800.0,569900.0,584200.0,581700.0,576000.0,576800.0,580400.0,571600.0,562100.0,556600.0,
VIRGINIA BEACH,VA,247800.0,252500,251500,254000,252800,252200,249700,250900,253300,253300,249500,245500,249800,254800,258600.0,260000.0,259300.0,258900.0,257400.0,262100.0,261900.0,264100.0,259400.0,261700.0,260200.0,
OAKLAND,CA,670800.0,692000,686800,699700,695200,702300,697200,710800,715700,718700,703700,694900,699500,709300,718700.0,718500.0,717000.0,718100.0,710600.0,716000.0,723400.0,724800.0,712700.0,719400.0,756800.0,
TULSA,OK,127500.0,128700,132900,129900,132600,128400,127700,124800,126800,128600,126100,128900,132100,139900,138700.0,137400.0,137100.0,140700.0,142500.0,143900.0,143500.0,141600.0,142000.0,142900.0,153900.0,
MINNEAPOLIS,MN,239400.0,247000,247600,250000,246800,243200,241300,242200,246500,252600,256900,257100,258600,264000,268200.0,270600.0,270100.0,270900.0,267700.0,262400.0,262400.0,267600.0,273000.0,286600.0,287400.0,292600.0
CLEVELAND,OH,61100.0,64200,60000,58700,56600,57900,57700,56200,54600,54200,57800,59300,64300,64300,69000.0,65900.0,64200.0,61200.0,60700.0,64200.0,59200.0,60500.0,62300.0,67600.0,67100.0,
